p1a_1,p1a_2,p1a_3,p1a_4,p1a_5,p1a_6,p1a_7,p1a_8,p1a_9,p1a_10,p1a_11,p1a_12,p1a_13,p1a_14,p1a_15,p1a_16,p1a_17,p1a_18,p1a_19,p1a_20,p1a_21,p1a_22,p17_1,p17_4,sexo,edad_1,escol,cond_act,h21_1,Tam_loc,ing_fam,Pondi2,estrato
3,2,3,1,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,1,14,1,6,46473,31
3,3,3,1,3,3,3,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,1,2,1,2,2,2,4,4,4,86543,14
3,3,3,2,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,1,1,1,2,4,2,1,2,8,34863,12
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,5,3,2,12,2,7,242920,32
3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,2,1,6,2,1,9,4,3,62229,44
3,3,3,1,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,6,2,1,9,2,6,33287,42
3,2,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,7,1,2,1,1,0,318257,21
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,7,2,2,-1,1,0,35024,31
3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,7,1,1,4,4,0,29589,14
9,8,3,1,3,2,3,2,3,3,2,1,3,3,3,2,3,3,3,3,3,9,1,1,1,3,5,1,1,1,8,60713,31
3,3,3,1,1,2,2,2,3,3,2,2,2,3,3,2,3,3,2,3,3,3,1,2,1,2,5,2,-1,1,0,26471,31
3,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,5,4,1,2,4,4,52175,14
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,1,2,3,1,6,1,6,42025,31
3,3,3,2,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,1,6,1,5,41607,31
3,3,3,1,1,2,3,2,3,3,3,1,3,3,3,2,3,3,3,3,2,2,1,1,2,3,3,2,7,1,3,22449,31
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,4,3,1,12,2,8,110010,32
3,2,3,3,1,1,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,1,1,1,2,3,3,1,4,2,7,69261,12
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,4,2,8,1,5,46464,31
3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,4,2,6,1,5,46464,31
3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,1,1,2,8,143764,32
3,2,2,1,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,1,5,4,2,-1,1,0,3945,21
3,3,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,1,3,4,1,2,2,5,6632,22
3,3,3,2,2,3,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,1,3,4,1,2,2,0,6632,22
3,3,3,3,3,3,3,2,3,3,2,1,3,3,3,1,3,3,3,3,3,3,1,1,1,2,5,1,1,1,8,14466,21
3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,2,5,5,1,1,1,8,21537,21
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,1,1,1,3,4,2,-1,1,0,101004,11
3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,1,1,5,5,1,1,1,8,7482,21
3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,1,2,4,3,2,6,2,5,24807,12
3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,4,2,2,12,4,6,77008,34
3,3,3,2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,5,4,1,7,3,4,23689,13
3,3,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,2,14,1,3,7355,31
3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,6,2,1,12,1,4,19216,41
3,3,3,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,4,2,97,1,8,26033,11
3,3,3,3,3,2,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,1,2,2,2,4,2,4,1,0,96178,31
3,3,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,4,1,-1,1,8,27776,31
3,1,2,1,1,1,1,2,2,3,1,1,3,3,3,1,3,3,3,3,3,3,1,2,1,3,5,1,1,3,8,51974,23
3,3,3,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,2,2,4,3,2,5,1,6,11814,31
